Shipment ID,Origin,Destination,Shipment Date,Planned Delivery Date,Actual Delivery Date,Vehicle Type,Distance (km),Weather Conditions,Traffic Conditions,Delayed
SHIP007413,Kolkata,Ahmedabad,2024-05-04,2024-05-09,2024-05-09,Container,1795,Clear,Light,No
SHIP007414,Hyderabad,Jaipur,2024-04-17,2024-04-23,2024-04-27,Lorry,1869,Fog,Heavy,Yes
SHIP007415,Kolkata,Jaipur,2023-10-19,2023-10-21,2023-10-23,Trailer,805,Clear,Light,Yes
SHIP007416,Jaipur,Lucknow,2023-05-03,2023-05-06,2023-05-11,Container,1080,Clear,Moderate,Yes
SHIP007417,Kolkata,Mumbai,2023-08-30,2023-09-02,2023-09-04,Container,1001,Fog,Light,Yes
SHIP007418,Pune,Mumbai,2023-09-11,2023-09-12,2023-09-13,Lorry,386,Clear,Moderate,Yes
SHIP007419,Bangalore,Chennai,2023-09-09,2023-09-10,2023-09-11,Truck,399,Clear,Moderate,Yes
SHIP007420,Hyderabad,Delhi,2024-04-28,2024-05-02,2024-05-02,Container,1229,Clear,Light,No
SHIP007421,Chennai,Pune,2023-05-10,2023-05-15,2023-05-20,Lorry,1540,Storm,Heavy,Yes
SHIP007422,Kolkata,Pune,2024-05-28,2024-05-30,2024-06-04,Truck,736,Clear,Moderate,Yes
SHIP007423,Lucknow,Delhi,2023-05-04,2023-05-09,2023-05-10,Lorry,1542,Clear,Moderate,Yes
SHIP007424,Lucknow,Delhi,2023-03-25,2023-03-26,2023-03-28,Trailer,371,Rain,Moderate,Yes
SHIP007425,Lucknow,Kolkata,2023-05-29,2023-05-30,2023-05-30,Lorry,255,Clear,Light,No
SHIP007426,Delhi,Jaipur,2024-01-24,2024-01-30,2024-02-07,Lorry,1990,Storm,Light,Yes
SHIP007427,Mumbai,Hyderabad,2024-02-13,2024-02-14,2024-02-19,Lorry,591,Rain,Light,Yes
SHIP007428,Kolkata,Mumbai,2023-09-10,2023-09-12,2023-09-15,,766,Fog,Moderate,Yes
SHIP007429,Bangalore,Hyderabad,2024-02-02,2024-02-03,2024-02-03,Container,493,Clear,Light,No
SHIP007430,Chennai,Mumbai,2023-10-14,2023-10-17,2023-10-19,Trailer,914,Fog,Light,Yes
SHIP007431,Hyderabad,Delhi,2024-03-18,2024-03-22,2024-03-25,Trailer,1259,Clear,Light,Yes
SHIP007432,Chennai,Bangalore,2023-11-16,2023-11-21,2023-11-22,Truck,1693,Clear,Moderate,Yes
SHIP007433,Hyderabad,Kolkata,2023-07-25,2023-07-31,2023-08-03,Lorry,1951,Clear,Light,Yes
SHIP007434,Jaipur,Bangalore,2023-07-19,2023-07-24,2023-07-25,Truck,1597,Clear,Moderate,Yes
SHIP007435,Kolkata,Mumbai,2023-12-11,2023-12-16,2023-12-21,,1626,Clear,Heavy,Yes
SHIP007436,Pune,Chennai,2023-08-07,2023-08-09,2023-08-12,Container,830,Fog,Moderate,Yes
SHIP007437,Pune,Mumbai,2023-10-13,2023-10-17,2023-10-18,,1487,Clear,Moderate,Yes
SHIP007438,Pune,Chennai,2024-04-29,2024-05-05,2024-05-05,Lorry,1825,Clear,Light,No
SHIP007439,Ahmedabad,Delhi,2023-02-15,2023-02-17,2023-02-20,Lorry,718,Rain,Heavy,Yes
SHIP007440,Chennai,Jaipur,2023-07-09,2023-07-13,2023-07-13,Lorry,1221,Clear,Light,No
SHIP007441,Lucknow,Ahmedabad,2024-02-11,2024-02-12,2024-02-13,Truck,386,Clear,Moderate,Yes
SHIP007442,Chennai,Pune,2023-12-25,2023-12-31,2024-01-03,Container,1950,Rain,Heavy,Yes
SHIP007443,Hyderabad,Delhi,2023-10-23,2023-10-27,2023-10-28,Lorry,1359,Clear,Moderate,Yes
SHIP007444,Jaipur,Mumbai,2023-06-22,2023-06-27,2023-06-29,Trailer,1501,Rain,Moderate,Yes
SHIP007445,Jaipur,Delhi,2023-07-06,2023-07-12,2023-07-18,Trailer,1988,Rain,Moderate,Yes
SHIP007446,Pune,Jaipur,2023-08-13,2023-08-15,2023-08-18,Container,649,Clear,Light,Yes
SHIP007447,Kolkata,Ahmedabad,2023-07-07,2023-07-13,2023-07-16,Lorry,1826,Rain,Heavy,Yes
SHIP007448,Delhi,Hyderabad,2024-01-12,2024-01-13,2024-01-14,,332,Clear,Moderate,Yes
SHIP007449,Jaipur,Delhi,2024-05-14,2024-05-18,2024-05-21,Container,1308,Fog,Moderate,Yes
SHIP007450,Hyderabad,Delhi,2023-07-29,2023-08-02,2023-08-03,Lorry,1226,Rain,Light,Yes
SHIP007451,Hyderabad,Pune,2023-12-08,2023-12-13,2023-12-15,Trailer,1589,Clear,Light,Yes
SHIP007452,Bangalore,Hyderabad,2023-12-05,2023-12-11,2023-12-12,Truck,1899,Clear,Moderate,Yes
SHIP007453,Mumbai,Jaipur,2024-02-02,2024-02-03,2024-02-03,Truck,555,Clear,Light,No
SHIP007454,Lucknow,Kolkata,2023-06-07,2023-06-10,2023-06-11,Lorry,1182,Clear,Moderate,Yes
SHIP007455,Jaipur,Ahmedabad,2023-11-12,2023-11-16,2023-11-17,Lorry,1297,Clear,Moderate,Yes
SHIP007456,Ahmedabad,Bangalore,2023-11-14,2023-11-19,2023-11-19,Lorry,1634,Clear,Light,No
SHIP007457,Ahmedabad,Mumbai,2024-01-19,2024-01-25,2024-01-28,Trailer,1810,Fog,Moderate,Yes
SHIP007458,Ahmedabad,Jaipur,2023-02-07,2023-02-09,2023-02-10,Truck,799,Clear,Moderate,Yes
SHIP007459,Chennai,Jaipur,2023-10-02,2023-10-06,2023-10-06,Container,1255,Clear,Light,No
SHIP007460,Chennai,Pune,2023-04-13,2023-04-14,2023-04-19,Trailer,387,Clear,Light,Yes
SHIP007461,Ahmedabad,Lucknow,2023-09-18,2023-09-20,2023-09-21,Trailer,810,Rain,Light,Yes
SHIP007462,Pune,Chennai,2024-03-14,2024-03-18,2024-03-19,Lorry,1437,Rain,Light,Yes
SHIP007463,Delhi,Chennai,2023-07-10,2023-07-13,2023-07-16,Lorry,1196,Fog,Moderate,Yes
SHIP007464,Chennai,Delhi,2024-03-12,2024-03-14,2024-03-18,Trailer,799,Clear,Light,Yes
SHIP007465,Bangalore,Ahmedabad,2023-02-10,2023-02-11,2023-02-11,Truck,380,Clear,Light,No
SHIP007466,Delhi,Ahmedabad,2023-05-13,2023-05-16,2023-05-18,Truck,1112,Fog,Light,Yes
SHIP007467,Lucknow,Ahmedabad,2023-04-08,2023-04-11,2023-04-15,Trailer,973,Storm,Moderate,Yes
SHIP007468,Bangalore,Mumbai,2024-02-27,2024-03-02,2024-03-04,Container,1444,Rain,Moderate,Yes
SHIP007469,Hyderabad,Kolkata,2024-03-31,2024-04-04,2024-04-08,Truck,1338,Clear,Heavy,Yes
SHIP007470,Mumbai,Kolkata,2023-11-27,2023-11-28,2023-11-30,,278,Clear,Heavy,Yes
SHIP007471,Pune,Ahmedabad,2024-02-06,2024-02-09,2024-02-09,Truck,925,Clear,Light,No
SHIP007472,Mumbai,Bangalore,2024-01-20,2024-01-24,2024-01-24,Trailer,1214,Clear,Light,No
SHIP007473,Pune,Hyderabad,2024-02-10,2024-02-14,2024-02-21,Lorry,1285,Fog,Moderate,Yes
SHIP007474,Lucknow,Chennai,2023-03-28,2023-04-03,2023-04-08,Trailer,1986,Clear,Light,Yes
SHIP007475,Lucknow,Kolkata,2024-05-30,2024-06-04,2024-06-04,Lorry,1687,Clear,Light,No
SHIP007476,Delhi,Ahmedabad,2024-03-15,2024-03-20,2024-03-25,Truck,1639,Rain,Heavy,Yes
SHIP007477,Lucknow,Ahmedabad,2024-01-03,2024-01-06,2024-01-07,Container,1187,Clear,Moderate,Yes
SHIP007478,Ahmedabad,Kolkata,2023-02-25,2023-02-26,2023-03-03,Container,467,Clear,Moderate,Yes
SHIP007479,Mumbai,Delhi,2023-11-02,2023-11-03,2023-11-03,Trailer,573,Clear,Light,No
SHIP007480,Mumbai,Kolkata,2023-08-18,2023-08-19,2023-08-23,Container,435,Rain,Light,Yes
SHIP007481,Bangalore,Ahmedabad,2024-02-24,2024-02-29,2024-03-04,Container,1773,Storm,Moderate,Yes
SHIP007482,Jaipur,Pune,2023-11-22,2023-11-28,2023-11-28,Trailer,1888,Clear,Light,No
SHIP007483,Bangalore,Hyderabad,2023-11-23,2023-11-27,2023-11-28,Truck,1312,Clear,Moderate,Yes
SHIP007484,Mumbai,Bangalore,2023-02-24,2023-03-02,2023-03-02,Trailer,1846,Clear,Light,No
SHIP007485,Pune,Hyderabad,2024-03-05,2024-03-07,2024-03-10,Container,774,Fog,Moderate,Yes
SHIP007486,Lucknow,Mumbai,2024-01-27,2024-01-29,2024-01-29,Trailer,659,Clear,Light,No
SHIP007487,Pune,Mumbai,2023-07-12,2023-07-15,2023-07-16,Truck,1053,Clear,Moderate,Yes
SHIP007488,Kolkata,Lucknow,2023-04-07,2023-04-11,2023-04-12,Lorry,1468,Clear,Moderate,Yes
SHIP007489,Mumbai,Chennai,2023-08-10,2023-08-12,2023-08-13,Truck,898,Rain,Light,Yes
SHIP007490,Pune,Kolkata,2023-11-15,2023-11-17,2023-11-17,,664,Clear,Light,No
SHIP007491,Mumbai,Pune,2024-03-13,2024-03-18,2024-03-18,Lorry,1551,Clear,Light,No
SHIP007492,Jaipur,Pune,2023-01-04,2023-01-10,2023-01-10,Lorry,1804,Clear,Light,No
SHIP007493,Kolkata,Lucknow,2023-04-19,2023-04-25,2023-04-29,Trailer,1948,Fog,Light,Yes
SHIP007494,Pune,Bangalore,2023-04-25,2023-04-27,2023-04-30,Truck,683,Rain,Heavy,Yes
SHIP007495,Mumbai,Chennai,2024-01-08,2024-01-13,2024-01-20,Lorry,1570,Rain,Moderate,Yes
SHIP007496,Pune,Kolkata,2023-12-07,2023-12-09,2023-12-10,Lorry,674,Rain,Light,Yes
SHIP007497,Ahmedabad,Lucknow,2023-07-01,2023-07-05,2023-07-09,Lorry,1321,Clear,Light,Yes
SHIP007498,Ahmedabad,Hyderabad,2023-08-08,2023-08-13,2023-08-15,Lorry,1511,Clear,Heavy,Yes
SHIP007499,Mumbai,Chennai,2023-02-04,2023-02-09,2023-02-10,Lorry,1769,Rain,Light,Yes
SHIP007500,Pune,Hyderabad,2023-12-30,2024-01-05,2024-01-06,Lorry,1854,Clear,Moderate,Yes
SHIP007501,Hyderabad,Kolkata,2023-09-25,2023-09-26,2023-09-27,Container,287,Clear,Moderate,Yes
SHIP007502,Kolkata,Jaipur,2023-10-06,2023-10-12,2023-10-17,Lorry,1895,Clear,Light,Yes
SHIP007503,Bangalore,Jaipur,2023-03-21,2023-03-23,2023-03-24,Truck,749,Clear,Moderate,Yes
SHIP007504,Bangalore,Chennai,2023-08-10,2023-08-16,2023-08-17,Container,1924,Clear,Moderate,Yes
SHIP007505,Chennai,Kolkata,2023-02-01,2023-02-04,2023-02-04,Trailer,1050,Clear,Light,No
SHIP007506,Jaipur,Mumbai,2024-03-30,2024-03-31,2024-03-31,Truck,457,Clear,Light,No
SHIP007507,Pune,Hyderabad,2024-01-05,2024-01-06,2024-01-09,Truck,281,Storm,Light,Yes
SHIP007508,Jaipur,Kolkata,2023-11-09,2023-11-11,2023-11-12,Truck,616,Clear,Moderate,Yes
SHIP007509,Pune,Hyderabad,2023-11-12,2023-11-15,2023-11-21,Trailer,998,Clear,Heavy,Yes
SHIP007510,Chennai,Lucknow,2023-03-21,2023-03-25,2023-03-30,Container,1439,Clear,Light,Yes
SHIP007511,Jaipur,Lucknow,2023-04-11,2023-04-12,2023-04-16,Container,336,Fog,Heavy,Yes
SHIP007512,Kolkata,Delhi,2023-07-14,2023-07-19,2023-07-24,Container,1591,Fog,Moderate,Yes
SHIP007513,Hyderabad,Pune,2023-08-10,2023-08-11,2023-08-11,Container,563,Clear,Light,No
SHIP007514,Jaipur,Lucknow,2024-05-05,2024-05-09,2024-05-11,Lorry,1390,Rain,Moderate,Yes
SHIP007515,Delhi,Mumbai,2023-05-31,2023-06-05,2023-06-05,Lorry,1532,Clear,Light,No
SHIP007516,Chennai,Bangalore,2023-12-19,2023-12-23,2023-12-24,Container,1410,Clear,Moderate,Yes
SHIP007517,Pune,Chennai,2023-08-19,2023-08-20,2023-08-20,Truck,314,Clear,Light,No
SHIP007518,Chennai,Pune,2023-01-31,2023-02-03,2023-02-09,Lorry,1017,Fog,Heavy,Yes
SHIP007519,Bangalore,Ahmedabad,2024-04-19,2024-04-24,2024-04-26,Trailer,1685,Clear,Light,Yes
SHIP007520,Bangalore,Lucknow,2023-05-25,2023-05-27,2023-05-27,Trailer,792,Clear,Light,No
SHIP007521,Jaipur,Pune,2023-03-26,2023-04-01,2023-04-03,Truck,1860,Clear,Light,Yes
SHIP007522,Lucknow,Chennai,2023-07-02,2023-07-04,2023-07-06,Lorry,794,Rain,Moderate,Yes
SHIP007523,Jaipur,Lucknow,2023-08-06,2023-08-12,2023-08-18,Container,1918,Rain,Moderate,Yes
SHIP007524,Chennai,Ahmedabad,2023-01-20,2023-01-21,2023-01-21,Lorry,226,Clear,Light,No
SHIP007525,Pune,Chennai,2023-07-03,2023-07-08,2023-07-11,Lorry,1630,Clear,Light,Yes
SHIP007526,Jaipur,Bangalore,2023-06-07,2023-06-18,2023-06-11,Lorry,1247,Clear,Heavy,Yes
SHIP007527,Bangalore,Hyderabad,2023-02-08,2023-02-11,2023-02-13,Trailer,1062,Clear,Heavy,Yes
SHIP007528,Chennai,Kolkata,2023-12-03,2023-12-04,2023-12-06,Lorry,458,Fog,Light,Yes
SHIP007529,Pune,Jaipur,2023-10-17,2023-10-23,2023-10-23,Truck,1960,Clear,Light,No
SHIP007530,Mumbai,Chennai,2024-01-21,2024-01-24,2024-01-25,Truck,941,Clear,Moderate,Yes
SHIP007531,Pune,Delhi,2023-08-07,2023-08-11,2023-08-17,Container,1438,Clear,Moderate,Yes
SHIP007532,Delhi,Pune,2024-04-30,2024-05-04,2024-05-06,Container,1308,Rain,Moderate,Yes
SHIP007533,Pune,Ahmedabad,2024-04-16,2024-04-19,2024-04-22,Container,1020,Clear,Light,Yes
SHIP007534,Chennai,Pune,2024-03-26,2024-03-29,2024-03-31,Container,1084,Clear,Heavy,Yes
SHIP007535,Mumbai,Jaipur,2024-01-26,2024-01-30,2024-01-30,Lorry,1476,Clear,Light,No
SHIP007536,Jaipur,Ahmedabad,2023-10-19,2023-10-21,2023-10-21,Container,876,Clear,Light,No
SHIP007537,Kolkata,Delhi,2023-02-23,2023-02-28,2023-03-04,Truck,1549,Storm,Moderate,Yes
SHIP007538,Pune,Delhi,2023-06-01,2023-06-05,2023-06-05,Lorry,1283,Clear,Light,No
SHIP007539,Ahmedabad,Lucknow,2024-04-25,2024-04-26,2024-04-30,Lorry,201,Rain,Light,Yes
SHIP007540,Kolkata,Jaipur,2023-08-03,2023-08-05,2023-08-05,Lorry,678,Clear,Light,No
SHIP007541,Delhi,Mumbai,2023-02-28,2023-03-01,2023-03-05,Truck,506,Clear,Moderate,Yes
SHIP007542,Ahmedabad,Mumbai,2023-02-05,2023-02-06,2023-02-07,Lorry,463,Clear,Moderate,Yes
SHIP007543,Bangalore,Delhi,2023-07-24,2023-07-25,2023-07-28,,223,Clear,Light,Yes
SHIP007544,Hyderabad,Jaipur,2023-04-17,2023-04-18,2023-04-20,Truck,580,Fog,Light,Yes
SHIP007545,Lucknow,Chennai,2023-08-02,2023-08-06,2023-08-07,Truck,1298,Clear,Moderate,Yes
SHIP007546,Mumbai,Delhi,2023-09-27,2023-10-01,2023-10-02,Truck,1484,Rain,Light,Yes
SHIP007547,Ahmedabad,Mumbai,2024-02-01,2024-02-03,2024-02-03,Lorry,769,Clear,Light,No
SHIP007548,Bangalore,Ahmedabad,2023-08-20,2023-08-26,2023-08-27,Lorry,1803,Clear,Moderate,Yes
SHIP007549,Jaipur,Kolkata,2023-03-01,2023-03-03,2023-03-08,Lorry,864,Clear,Light,Yes
SHIP007550,Chennai,Delhi,2023-03-15,2023-03-17,2023-03-23,Container,680,Rain,Moderate,Yes
SHIP007551,Ahmedabad,Delhi,2024-05-12,2024-05-14,2024-05-20,Lorry,745,Clear,Heavy,Yes
SHIP007552,Ahmedabad,Pune,2023-06-24,2023-06-29,2023-07-04,Lorry,1746,Clear,Light,Yes
SHIP007553,Kolkata,Bangalore,2023-06-25,2023-06-29,2023-06-29,Truck,1338,Clear,Light,No
SHIP007554,Delhi,Jaipur,2024-04-16,2024-04-22,2024-04-24,Container,1920,Clear,Heavy,Yes
SHIP007555,Chennai,Pune,2023-10-29,2023-11-04,2023-11-11,Lorry,1820,Rain,Moderate,Yes
SHIP007556,Kolkata,Bangalore,2023-02-01,2023-02-02,2023-02-04,Container,352,Clear,Heavy,Yes
SHIP007557,Bangalore,Chennai,2023-04-11,2023-04-15,2023-04-15,Truck,1437,Clear,Light,No
SHIP007558,Pune,Mumbai,2023-05-07,2023-05-10,2023-05-11,Truck,1027,Clear,Moderate,Yes
SHIP007559,Delhi,Chennai,2023-04-07,2023-04-11,2023-04-12,Lorry,1375,Clear,Moderate,Yes
SHIP007560,Ahmedabad,Delhi,2024-02-15,2024-02-17,2024-02-25,Container,872,Fog,Moderate,Yes
SHIP007561,Delhi,Mumbai,2023-04-18,2023-04-22,2023-04-23,,1477,Clear,Moderate,Yes
SHIP007562,Chennai,Kolkata,2024-03-05,2024-03-10,2024-03-11,Lorry,1642,Clear,Moderate,Yes
SHIP007563,Bangalore,Mumbai,2023-07-30,2023-08-01,2023-08-02,Lorry,768,Clear,Moderate,Yes
SHIP007564,Kolkata,Lucknow,2023-05-12,2023-05-15,2023-05-16,Truck,1013,Rain,Light,Yes
SHIP007565,Bangalore,Mumbai,2023-01-17,2023-01-22,2023-01-22,Truck,1703,Clear,Light,No
SHIP007566,Mumbai,Hyderabad,2024-02-28,2024-03-04,2024-03-04,Lorry,1701,Clear,Light,No
SHIP007567,Pune,Kolkata,2023-12-06,2023-12-08,2023-12-08,Trailer,714,Clear,Light,No
SHIP007568,Ahmedabad,Lucknow,2023-09-13,2023-09-18,2023-09-18,Lorry,1524,Clear,Light,No
SHIP007569,Bangalore,Ahmedabad,2023-08-29,2023-08-30,2023-09-03,Trailer,530,Clear,Moderate,Yes
SHIP007570,Lucknow,Ahmedabad,2023-02-08,2023-02-14,2023-02-15,Lorry,1965,Clear,Moderate,Yes
SHIP007571,Kolkata,Ahmedabad,2024-02-26,2024-03-03,2024-03-05,Truck,1961,Fog,Light,Yes
SHIP007572,Delhi,Hyderabad,2024-04-01,2024-04-06,2024-04-06,Lorry,1526,Clear,Light,No
SHIP007573,Pune,Bangalore,2023-11-20,2023-11-23,2023-11-30,Trailer,1091,Clear,Heavy,Yes
SHIP007574,Pune,Kolkata,2024-01-30,2024-02-03,2024-02-03,Trailer,1419,Clear,Light,No
SHIP007575,Delhi,Mumbai,2024-04-05,2024-04-06,2024-04-07,Container,228,Clear,Moderate,Yes
SHIP007576,Bangalore,Lucknow,2023-09-08,2023-09-10,2023-09-10,Trailer,735,Clear,Light,No
SHIP007577,Jaipur,Delhi,2023-03-30,2023-04-02,2023-04-05,Container,1093,Clear,Moderate,Yes
SHIP007578,Chennai,Lucknow,2023-09-22,2023-09-25,2023-10-01,Trailer,1181,Rain,Moderate,Yes
SHIP007579,Lucknow,Chennai,2023-02-27,2023-03-02,2023-03-05,Container,979,Clear,Light,Yes
SHIP007580,Chennai,Delhi,2023-03-12,2023-03-15,2023-03-17,Trailer,921,Clear,Heavy,Yes
SHIP007581,Chennai,Ahmedabad,2023-01-24,2023-01-28,2023-02-05,Trailer,1220,Fog,Moderate,Yes
SHIP007582,Lucknow,Bangalore,2023-05-04,2023-05-08,2023-05-10,Trailer,1228,Fog,Light,Yes
SHIP007583,Delhi,Bangalore,2023-06-03,2023-06-08,2023-06-08,Trailer,1733,Clear,Light,No
SHIP007584,Chennai,Hyderabad,2023-03-23,2023-03-27,2023-03-27,Lorry,1271,Clear,Light,No
SHIP007585,Delhi,Pune,2023-12-26,2023-12-28,2024-01-03,Container,870,Rain,Light,Yes
SHIP007586,Chennai,Pune,2023-09-04,2023-09-06,2023-09-06,Trailer,639,Clear,Light,No
SHIP007587,Pune,Delhi,2023-08-23,2023-08-27,2023-08-28,Truck,1261,Clear,Moderate,Yes
SHIP007588,Mumbai,Kolkata,2023-09-17,2023-09-22,2023-09-22,Truck,1656,Clear,Light,No
SHIP007589,Chennai,Hyderabad,2023-09-28,2023-10-04,2023-10-05,Trailer,1989,Clear,Moderate,Yes
SHIP007590,Delhi,Ahmedabad,2024-03-11,2024-03-15,2024-03-16,Container,1387,Rain,Light,Yes
SHIP007591,Lucknow,Hyderabad,2024-05-17,2024-05-21,2024-05-24,Truck,1303,Clear,Light,Yes
SHIP007592,Pune,Chennai,2023-11-17,2023-11-22,2023-11-22,Truck,1773,Clear,Light,No
SHIP007593,Delhi,Bangalore,2023-08-28,2023-09-03,2023-09-05,Truck,1822,Fog,Light,Yes
SHIP007594,Delhi,Ahmedabad,2024-04-12,2024-04-16,2024-04-17,Truck,1319,Rain,Light,Yes
SHIP007595,Ahmedabad,Kolkata,2024-03-20,2024-03-21,2024-03-22,Container,385,Clear,Moderate,Yes
SHIP007596,Lucknow,Jaipur,2023-05-03,2023-05-04,2023-05-04,Truck,353,Clear,Light,No
SHIP007597,Pune,Mumbai,2023-03-31,2023-04-02,2023-04-05,Lorry,717,Rain,Light,Yes
SHIP007598,Kolkata,Bangalore,2024-05-11,2024-05-17,2024-05-17,Container,1986,Clear,Light,No
SHIP007599,Chennai,Mumbai,2023-06-06,2023-06-10,2023-06-11,Trailer,1370,Clear,Moderate,Yes
SHIP007600,Chennai,Pune,2023-05-04,2023-05-07,2023-05-11,Trailer,1045,Storm,Moderate,Yes
SHIP007601,Ahmedabad,Lucknow,2023-12-16,2023-12-21,2023-12-24,Lorry,1772,Fog,Moderate,Yes
SHIP007602,Bangalore,Delhi,2023-06-21,2023-06-22,2023-06-22,Lorry,308,Clear,Light,No
SHIP007603,Lucknow,Bangalore,2023-01-12,2023-01-16,2023-01-21,Lorry,1446,Rain,Light,Yes
SHIP007604,Ahmedabad,Lucknow,2023-10-19,2023-10-23,2023-10-25,Truck,1226,Fog,Light,Yes
SHIP007605,Lucknow,Chennai,2023-03-14,2023-03-16,2023-03-21,Trailer,855,Rain,Heavy,Yes
SHIP007606,Ahmedabad,Pune,2023-10-28,2023-11-01,2023-11-04,Container,1320,Clear,Moderate,Yes
SHIP007607,Bangalore,Jaipur,2023-04-11,2023-04-16,2023-04-18,Lorry,1502,Clear,Heavy,Yes
SHIP007608,Pune,Hyderabad,2023-11-22,2023-11-23,2023-11-24,Lorry,332,Clear,Moderate,Yes
SHIP007609,Mumbai,Bangalore,2023-09-25,2023-09-27,2023-09-30,Container,845,Storm,Light,Yes
SHIP007610,Bangalore,Kolkata,2023-01-12,2023-01-18,2023-01-18,,1816,Clear,Light,No
SHIP007611,Delhi,Lucknow,2023-03-12,2023-03-18,2023-03-20,Container,1838,Clear,Heavy,Yes
SHIP007612,Jaipur,Mumbai,2023-12-10,2023-12-11,2023-12-11,Lorry,336,Clear,Light,No
SHIP007613,Kolkata,Hyderabad,2023-11-21,2023-11-26,2023-11-28,Truck,1592,Fog,Light,Yes
SHIP007614,Mumbai,Jaipur,2023-03-29,2023-03-30,2023-03-30,Trailer,287,Clear,Light,No
SHIP007615,Jaipur,Bangalore,2024-04-24,2024-04-25,2024-04-25,Truck,426,Clear,Light,No
SHIP007616,Kolkata,Hyderabad,2023-10-24,2023-10-28,2023-10-29,Truck,1439,Rain,Light,Yes
SHIP007617,Delhi,Kolkata,2023-06-22,2023-06-26,2023-06-26,Truck,1339,Clear,Light,No
SHIP007618,Pune,Lucknow,2024-02-16,2024-02-20,2024-02-21,Truck,1459,Rain,Light,Yes
SHIP007619,Chennai,Bangalore,2024-01-13,2024-01-15,2024-01-17,Lorry,608,Rain,Moderate,Yes
SHIP007620,Lucknow,Pune,2023-08-16,2023-08-17,2023-08-18,Trailer,457,Clear,Moderate,Yes
SHIP007621,Pune,Jaipur,2023-05-13,2023-05-17,2023-05-19,Lorry,1356,Clear,Heavy,Yes
SHIP007622,Jaipur,Delhi,2023-04-22,2023-04-26,2023-05-02,Container,1315,Clear,Moderate,Yes
SHIP007623,Hyderabad,Jaipur,2023-11-30,2023-12-01,2023-12-04,Container,371,Clear,Light,Yes
SHIP007624,Jaipur,Chennai,2023-10-01,2023-10-05,2023-10-06,Trailer,1461,Clear,Moderate,Yes
SHIP007625,Kolkata,Mumbai,2023-04-22,2023-04-23,2023-04-27,Lorry,288,Clear,Moderate,Yes
SHIP007626,Mumbai,Kolkata,2023-11-18,2023-11-20,2023-11-22,Truck,866,Clear,Heavy,Yes
SHIP007627,Jaipur,Mumbai,2024-04-21,2024-04-22,2024-04-25,Lorry,246,Rain,Light,Yes
SHIP007628,Bangalore,Ahmedabad,2023-02-10,2023-02-15,2023-02-17,Container,1758,Clear,Heavy,Yes
SHIP007629,Chennai,Hyderabad,2023-10-24,2023-10-29,2023-11-01,Trailer,1548,Storm,Light,Yes
SHIP007630,Pune,Hyderabad,2024-05-22,2024-05-27,2024-05-29,Container,1604,Clear,Heavy,Yes
SHIP007631,Bangalore,Hyderabad,2023-12-10,2023-12-13,2023-12-14,Trailer,1132,Clear,Moderate,Yes
SHIP007632,Mumbai,Pune,2023-12-16,2023-12-22,2023-12-29,Truck,1895,Rain,Moderate,Yes
SHIP007633,Hyderabad,Lucknow,2023-09-18,2023-09-19,2023-09-20,Lorry,454,Rain,Light,Yes
SHIP007634,Hyderabad,Chennai,2024-01-08,2024-01-09,2024-01-09,Truck,327,Clear,Light,No
SHIP007635,Bangalore,Ahmedabad,2023-07-22,2023-07-27,2023-07-28,Trailer,1554,Clear,Moderate,Yes
SHIP007636,Pune,Jaipur,2024-02-23,2024-02-25,2024-02-25,Truck,655,Clear,Light,No
SHIP007637,Chennai,Hyderabad,2023-01-12,2023-01-15,2023-01-19,Container,975,Clear,Moderate,Yes
SHIP007638,Lucknow,Chennai,2024-04-18,2024-04-23,2024-04-27,Container,1728,Clear,Light,Yes
SHIP007639,Kolkata,Mumbai,2023-09-02,2023-09-03,2023-09-04,Container,597,Clear,Moderate,Yes
SHIP007640,Pune,Kolkata,2023-05-03,2023-05-08,2023-05-10,Truck,1678,Clear,Heavy,Yes
SHIP007641,Chennai,Ahmedabad,2023-03-25,2023-03-31,2023-04-02,Lorry,1937,Clear,Heavy,Yes
SHIP007642,Mumbai,Kolkata,2023-04-16,2023-04-17,2023-04-19,Trailer,406,Clear,Light,Yes
SHIP007643,Kolkata,Ahmedabad,2024-03-11,2024-03-14,2024-03-15,Container,1060,Rain,Light,Yes
SHIP007644,Delhi,Ahmedabad,2024-02-21,2024-02-26,2024-02-27,Trailer,1651,Clear,Moderate,Yes
SHIP007645,Hyderabad,Jaipur,2023-12-18,2023-12-23,2023-12-25,Lorry,1502,Rain,Moderate,Yes
SHIP007646,Kolkata,Mumbai,2023-04-09,2023-04-15,2023-04-15,Trailer,1852,Clear,Light,No
SHIP007647,Delhi,Chennai,2024-03-12,2024-03-16,2024-03-16,Container,1237,Clear,Light,No
SHIP007648,Chennai,Pune,2023-01-21,2023-01-24,2023-01-24,Trailer,1177,Clear,Light,No
SHIP007649,Hyderabad,Lucknow,2023-03-09,2023-03-12,2023-03-12,Truck,980,Clear,Light,No
SHIP007650,Jaipur,Bangalore,2024-01-01,2024-01-05,2024-01-09,Truck,1299,Clear,Light,Yes
SHIP007651,Bangalore,Hyderabad,2023-02-10,2023-02-12,2023-02-14,Trailer,608,Clear,Light,Yes
SHIP007652,Lucknow,Kolkata,2023-03-05,2023-03-10,2023-03-10,Container,1789,Clear,Light,No
